status,fine,date,violation_no,violation_type
Y,4524,2003-10-30,sauquw,1001
Y,3975,1997-09-03,yodwnf,1004
Y,1306,1992-07-25,rvigph,1004
Y,6788,1991-12-23,onflbd,1003
N,7250,1990-03-03,nglxsk,1001
N,5284,2012-04-27,bopivl,1002
N,5789,1997-06-18,yeagsw,1005
N,3414,2023-01-22,qbbsbm,1003
Y,2449,1979-10-09,xlzhek,1001
N,2082,2012-01-15,vqplsj,1001
Y,9099,2001-02-03,gnbrgt,1005
N,8731,1998-06-14,ezjwrn,1005
N,5542,1995-07-04,sgyapk,1003
Y,4706,2005-04-08,tiocou,1005
Y,6502,2019-07-23,egspef,1004
Y,8897,2007-07-17,jtdgqw,1004
Y,910,1980-11-20,roiycp,1005
Y,4190,2000-10-08,ouhrdz,1004
Y,835,1982-11-04,biydfe,1001
Y,6345,2018-12-30,wveqfh,1001
Y,5967,2022-04-21,bszypi,1002
Y,760,2018-10-17,sijcui,1003
N,4160,2003-06-20,bzdsaw,1001
Y,9561,1976-01-09,kukvjo,1001
N,5279,1974-01-24,wkfhpe,1003
N,1030,1993-10-01,fgncyk,1003
N,1255,1992-03-02,drvlmw,1002
Y,2483,2000-01-24,shyxie,1004
N,3225,1981-03-26,ohyfui,1005
Y,7914,1970-12-17,oimelu,1003
N,9350,1986-02-22,shildu,1002
N,9768,1996-05-08,hhxgvd,1002
N,5525,2020-11-08,snztom,1003
N,1708,2004-10-03,hpzxvf,1003
Y,6819,1987-03-01,tjxmkx,1002
N,2891,1990-10-06,rkvuxb,1001
Y,7088,2007-11-26,guswcf,1004
Y,6267,2019-02-06,kcdyit,1004
N,7230,2003-11-10,jfzubr,1005
N,6336,2010-05-11,apdytl,1001
N,4795,2016-01-12,wqbuyi,1005
Y,352,2000-06-23,djhnhh,1005
N,4269,1984-05-31,qlxklb,1001
Y,5443,2004-04-15,giugrn,1005
Y,5701,1983-12-25,sechbr,1002
N,6321,1995-12-09,xwarth,1005
N,5487,2008-11-28,xidttm,1003
N,200,2002-01-23,jirmnh,1005
N,157,2018-12-19,cyqdhj,1005
N,9299,2008-07-03,olnrfp,1001
