vehicle_license,violation_no
EA3CDHWW,qgohjg
VEGT7E27,uvuexy
TQ6NONQB,wfpknk
29CWCH3D,rzeryd
VEGT7E27,uccbyr
0DCUZSK6,swabpt
0HX6ONXU,qcxgvk
0JE9TTTM,qwmryy
GHM7TRQT,fqgkww
BOXSL56K,dshywq
AUXM7CI5,gdjarc
3EKY9JWC,uvcdbu
ZF7R447D,uniybb
UHR27L69,bzvcsm
GNYZP3MG,jljbyx
DBDS8TBP,cjxbte
PTVNVHPS,zjukwo
RGEJPNLS,dbijkb
S60B67CL,svnvpc
M1C9BWDB,nhgduy
TB2ODZQ8,mwvfbr
AUXM7CI5,sizpiw
UHR27L69,krbzpf
S60B67CL,wdjebo
PTVNVHPS,grgsel
F77GQA0U,kuaplr
KNC1CM6H,qmbkcq
0DCUZSK6,xpfztw
NU8ZHTIQ,pejfda
6SIXFW5O,mrigrb
127038G2,cdhgex
TQ6NONQB,gahtfw
3HMDLN1R,hftenn
F77GQA0U,bdvkih
RUW5ZCZI,zixwhn
KNC1CM6H,gfcbtq
NB9PXC5U,xvgcsd
RGEJPNLS,zecwjw
CWFD2BG5,xswcyo
M1C9BWDB,wlkmms
01UJR7TG,iocuih
0HX6ONXU,psrzrl
T3MTKRSI,jkpluw
E7FYDUD8,iwovod
IJ62MB6E,gwfvzg
BSEPMAZB,bcrkuw
RGEJPNLS,iuyece
6TR53LNA,qwabrg
BOXSL56K,vesjko
K8TGWZHP,cwskyg
